Voltage (V),Current Limit (A),Gear Ratio,Resistance Torque (N*m),Move Time (s),dTime/dVoltage (s/V),dTime/dCurrent Limit (s/A),dTime/dGear Ratio (s/ratio),dTime/dResistance Torque (s/(N*m)),dTime/dMotor Inertia (s/(kg*m^2)),dTime/dAngle (s/deg)
95.0,70.0,2.5,10.0,0.05965893914386586,0.0,-0.0009202235288657178,-0.000908952304156524,0.003956124167474734,51.78727356238503,0.00022194545812450475
95.0,70.0,3.0,10.0,0.06009462081746398,0.0,-0.0007529087510163815,0.004541503182239777,0.0019563886852108983,55.27466962606624,0.0002368914412545869
24.0,70.0,3.0,10.0,0.06026664811325874,-0.00015153824996540222,-0.0006654936030114414,0.004604983216838337,0.0018188662882045667,45.1603983755543,0.00022830876851808149
95.0,70.0,2.0,10.0,0.06528772599632124,0.0,-0.0017054268602826367,-0.0313046689395035,0.008532284548955563,56.7719356489802,0.00024330829563846667
95.0,60.0,3.0,10.0,0.06946249211469194,0.0,-0.0012441399285972646,0.00023867317752053013,0.0036969185904631163,62.80514657747844,0.00026916491390348887
95.0,70.0,5.0,10.0,0.07021451971386533,0.0,-0.0006418280701635842,0.006344813804569638,0.0006585462689458893,51.102270534113266,0.0002190097308604705
95.0,60.0,2.5,10.0,0.07260307088969487,0.0,-0.0018354925288441872,-0.015993344296577894,0.0075061337787516585,58.45657881616817,0.00025052819492648454
24.0,70.0,5.0,10.0,0.07475712317911623,-0.0011272119725005622,-0.0004021371311919886,0.008961736436960133,0.0005196749891344526,45.25359638368985,0.00035717980917922867
95.0,70.0,5.0,15.0,0.07523027880450334,0.0,-0.0008396342007134218,0.003341459249639328,0.0011728661692037476,57.20063777712309,0.00024514559047349367
95.0,60.0,5.0,10.0,0.07732401526909809,0.0,-0.0008917911604505377,0.00552646367368459,0.0009240589736472099,61.48538109816115,0.0002635087761351498
24.0,70.0,5.0,15.0,0.07890650537243642,-0.000997171108280849,-0.000575663021071924,0.007156908538795831,0.000948120694322883,50.000652566688466,0.00035718654090927804
95.0,70.0,3.0,15.0,0.07993488539375701,0.0,-0.0021823261441209635,-0.02254385292572598,0.007536989440485633,66.23392492379847,0.0002838596782448753
24.0,60.0,5.0,10.0,0.07996587690754847,-0.0008280497528995989,-0.0006533525413410004,0.008194129571071213,0.000905177093875123,48.739421648723074,0.0003572983956557898
95.0,70.0,5.0,20.0,0.08426825154071095,0.0,-0.0013191181854117176,-0.002315110560972,0.0024432673176879097,72.50218298734379,0.00031072364137430566
95.0,60.0,5.0,15.0,0.08532269692924016,0.0,-0.0013533577413383144,0.0020240903477966588,0.0019346972039387587,76.10332294912676,0.00032615709835336564
24.0,70.0,5.0,20.0,0.0863621748922125,-0.0008532607794244664,-0.0010459673140225864,0.002268598602394034,0.0019337811958967596,55.404174829532444,0.0003929998258746137
24.0,60.0,5.0,15.0,0.08683477173147705,-0.0007198312667537332,-0.0010130881237637008,0.004409489298770192,0.002200838066775309,60.965641641088276,0.000357534912048253
95.0,70.0,10.0,10.0,0.09563591803937543,0.0,-0.0006870908987051591,0.0047353421971022686,-0.0003972367164567503,72.31996221978542,0.0003099426952274337
95.0,70.0,10.0,15.0,0.09719722707077356,0.0,-0.0007886138501728443,0.00424812070266227,0.00042416464953926036,81.4047127896458,0.00034887734052683035
40.0,70.0,10.0,10.0,0.09752484314214141,-0.0005306762096711666,-0.0006281909037074528,0.005993418268656417,1.2908146850634794e-05,63.93769741367776,0.000393268422911572
40.0,70.0,10.0,15.0,0.09884105676822585,-0.0005833133027239625,-0.0005757815173679633,0.005148709001731033,0.0005717629542301613,60.12457562752303,0.0003932702602763115
95.0,70.0,10.0,20.0,0.09934281391830799,0.0,-0.0008734372550930207,0.00385249332692586,0.0003734119697948804,89.42897343469764,0.0003832670290058271
95.0,60.0,2.0,10.0,0.09945246582766488,0.0,-0.007072338649730103,-0.16187511414649108,0.03714548391462423,88.26097428794404,0.0003782613183769426
40.0,70.0,10.0,20.0,0.10082330102763637,-0.0003800900709566811,-0.0007467281524410617,0.004767295550748146,0.0003697839758791399,73.41936743045115,0.00042910304263019214
95.0,60.0,5.0,20.0,0.10264975240121149,0.0,-0.0026016802528165224,-0.011340761723060838,0.00517373645090833,77.94210508819609,0.00033403759323531436
24.0,60.0,5.0,20.0,0.10274796306782041,-0.00011008076233496797,-0.002563776757214496,-0.009611516020105737,0.0049898664815551524,79.51458740774441,0.0004056697209096458
95.0,60.0,10.0,10.0,0.1037644008882895,0.0,-0.000871242346561947,0.004962045579601157,0.00013283919016761347,84.91358501500879,0.0003639153643498542
95.0,40.0,5.0,10.0,0.10450073431241869,0.0,-0.0021894809359175246,0.002048598358914966,0.004194478890196113,86.97522622752702,0.0003727509695467128
24.0,40.0,5.0,10.0,0.10450073431241869,1.944869786795501e-05,-0.0022003255009810617,0.00201186129051123,0.004194478890196113,86.97522622752702,0.0003727509695467128
40.0,60.0,10.0,10.0,0.10453295294588093,-0.00030407976264896705,-0.0008674858209079794,0.005674337708450328,0.0003729030799356353,79.48043248936939,0.0004319415142384555
95.0,60.0,10.0,15.0,0.10596116086458968,0.0,-0.0009443036877348002,0.004600162854834014,0.0006190917915579094,78.95764594983285,0.00033838991121329175
95.0,70.0,10.0,30.0,0.10625590473482871,0.0,-0.0011906093489246026,0.0026480205984052985,0.0009478134897088671,91.5210204434705,0.0003922329447575869
40.0,60.0,10.0,15.0,0.10651096924809164,-0.00025159821850770023,-0.000871613430895359,0.005374166806010466,0.00045520368330438193,82.79465529631553,0.0003965738881860775
40.0,70.0,10.0,30.0,0.1071140613035633,-0.000339900632635743,-0.0010345308178995017,0.003440915372590961,0.0008601406303042116,84.19175922075885,0.0003942382736684045
95.0,60.0,10.0,20.0,0.10934560174504131,0.0,-0.0011210898912221204,0.0036028048521308254,0.0007800925911468845,86.07953353737796,0.0003689122865892087
40.0,60.0,10.0,20.0,0.10965825204337544,-0.00020257714781009642,-0.0010525762465516653,0.004553147884549524,0.0007700577134175934,86.31344454541197,0.00039892931322890035
95.0,70.0,2.5,15.0,0.11631793076227935,0.0,-0.009354315552454898,-0.21385811714270841,0.03947864388051614,95.79943384134769,0.0004105690021772192
95.0,60.0,10.0,30.0,0.12067812639074513,0.0,-0.0018007720765431576,0.0009367567689348016,0.001645550433133474,97.84712950595156,0.00041934484074004506
40.0,60.0,10.0,30.0,0.12072525120244151,8.88093757171575e-05,-0.0017352214163172375,0.001434151242802953,0.001630801100357196,100.34556537268902,0.0004101055600988352
24.0,70.0,10.0,10.0,0.12117646127682445,-0.0031113369425583154,-0.00038929826262948977,0.009307856611132995,0.00019216603795106646,33.12743544918451,0.0007142857143367306
95.0,60.0,3.0,15.0,0.12180000000000246,0.0,-0.008662290722035148,-0.1326550821770571,0.030769087966796376,105.91316914552891,0.0004539135820523361
24.0,70.0,10.0,15.0,0.12273269833728614,-0.003372170746334848,-0.00035722970788049086,0.009406308620801274,0.00039581126653203313,47.387830554223214,0.0007142857143214106
24.0,70.0,10.0,20.0,0.12465747013506784,-0.003418542680902759,-0.00047360797168225535,0.009480347269914605,0.00025983916819329045,45.26245021886528,0.0007142857143129104
